STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
KA,Bangalore,Anekal,Anekal,12.70833333,77.7,Anekal,Bore Well,W05243,2018,19.63,18.11,NA,NA
KA,Bangalore,Bangalore North,Bangalore North,13.05972222,77.57694444,Kodigehalli,Dug Well,W24336,2018,NA,NA,4.13,3.77
KA,Bangalore,Bangalore North,Bangalore North,13.075,77.4375,Dasanapura,Bore Well,W05497,2018,23,24.57,NA,NA
KA,Bangalore,Anekal,Anekal,12.85833333,77.78333333,Sarjapura,Bore Well,W06424,2018,NA,59.32,NA,NA
KA,Bangalore,Bangalore South,Bangalore East,13.025,77.76111111,Kannamangala pz,Bore Well,W21201,2018,NA,59.3,NA,NA
KA,Bangalore,Bangalore North,Bangalore North,13.04166667,77.575,Hebbal-1,Bore Well,W05727,2018,NA,21.06,37.5,NA
KA,Bangalore,Bangalore South,Bangalore South,12.86666667,77.58333333,Jayanagar,Bore Well,W05731,2018,NA,7.64,9.1,NA
KA,Bangalore,Bangalore South,Bangalore South,12.86805556,77.65,Singasandra,Bore Well,W06428,2018,NA,13.5,23.9,NA
KA,Bangalore,Bangalore South,Bangalore South,12.86944444,77.53888889,Thalaghattapura Pz,Bore Well,W21202,2018,NA,5.46,6.36,NA
KA,Bangalore,Bangalore North,Bangalore North,13.04166667,77.58333333,Hebbal-2,Dug Well,W18666,2018,NA,2.17,2.55,NA
KA,Bangalore,Anekal,Anekal,12.76166667,77.65944444,Haragadde,Dug Well,W05726,2018,NA,4.3,3.5,NA
KA,Bangalore,Bangalore South,Bangalore South,12.75277778,77.51111111,Bang Uni Ars Ls,Bore Well,W21088,2018,NA,18.48,20.1,NA
KA,Bangalore,Anekal,Anekal,12.79583333,77.60694444,Begihalli,Dug Well,W05245,2018,NA,NA,1.17,1.47
KA,Bangalore,Bangalore South,Bangalore South,12.9225,77.57916667,Bangalore-2,Dug Well,W05250,2018,NA,4.57,3.87,NA
KA,Bangalore,Bangalore South,Bangalore South,12.97916667,77.41944444,Chandasipalya,Dug Well,W21199,2018,NA,4.71,5.74,NA
KA,Bangalore,Bangalore South,Bangalore East,12.93333333,77.74166667,Varathur,Bore Well,W06430,2018,NA,28.08,32.83,NA
KA,Bangalore,Bangalore South,Bangalore East,12.94444444,77.7,Adugodi,Bore Well,W21087,2018,NA,2.8,2.6,NA
KA,Bangalore,Bangalore North,Bangalore North,13.10833333,77.6,Yelahanka,Bore Well,W06426,2018,NA,21.14,20.9,NA
KA,Bangalore,Bangalore North,Bangalore North,12.94416667,77.55833333,Bangalore-4,Dug Well,W05248,2018,NA,1.8,1.8,NA
KA,Bangalore,Bangalore North,Bangalore North,12.95166667,77.58555556,Lalbagh garden,Bore Well,W06103,2018,NA,3.01,4.2,NA
KA,Bangalore,Bangalore North,Bangalore North,12.97083333,77.6375,Indiranagar,Bore Well,W05730,2018,NA,7.79,8.9,NA
KA,Bangalore,Bangalore South,Bangalore North,12.97416667,77.59388889,Cubbon Park,Bore Well,W31041,2018,NA,2.3,2.3,NA
KA,Bangalore,Anekal,Anekal,12.75,77.75,Bhaktipura,Dug Well,W24198,2018,NA,1.85,7.05,NA
KA,Bangalore,Anekal,Anekal,12.81416667,77.66555556,Cgwb Workshop,Bore Well,W24216,2018,NA,2.6,1.9,NA
KA,Bangalore,Bangalore South,Bangalore South,12.85833333,77.59166667,Gottigere A,Dug Well,W24240,2018,NA,NA,0.15,NA
KA,Bangalore,Bangalore North,Bangalore South,12.86305556,77.56555556,Gollahalli,Dug Well,W24247,2018,NA,0.9,1.1,NA
KA,Bangalore,Bangalore South,Bangalore South,12.88333333,77.62138889,Begur,Dug Well,W24255,2018,NA,5.77,9.5,NA
KA,Bangalore,Bangalore South,Bangalore South,12.89361111,77.59944444,IIM Bannerughatta,Bore Well,W24256,2018,NA,15.32,20,NA
KA,Bangalore,Bangalore South,Bangalore South,12.895,77.55305556,Vasanthpura,Dug Well,W24258,2018,NA,3.95,4.5,NA
