YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
2018,19.63,18.11,NA,NA
2018,NA,NA,4.13,3.77
2018,23,24.57,NA,NA
2018,NA,59.32,NA,NA
2018,NA,59.3,NA,NA
2018,NA,21.06,37.5,NA
2018,NA,7.64,9.1,NA
2018,NA,13.5,23.9,NA
2018,NA,5.46,6.36,NA
2018,NA,2.17,2.55,NA
2018,NA,4.3,3.5,NA
2018,NA,18.48,20.1,NA
2018,NA,NA,1.17,1.47
2018,NA,4.57,3.87,NA
2018,NA,4.71,5.74,NA
2018,NA,28.08,32.83,NA
2018,NA,2.8,2.6,NA
2018,NA,21.14,20.9,NA
2018,NA,1.8,1.8,NA
2018,NA,3.01,4.2,NA
2018,NA,7.79,8.9,NA
2018,NA,2.3,2.3,NA
2018,NA,1.85,7.05,NA
2018,NA,2.6,1.9,NA
2018,NA,NA,0.15,NA
2018,NA,0.9,1.1,NA
2018,NA,5.77,9.5,NA
2018,NA,15.32,20,NA
2018,NA,3.95,4.5,NA
2018,NA,11.4,13.1,NA
2018,NA,2.9,2.49,NA
2018,NA,2.14,2.4,NA
2018,NA,17.17,8.87,NA
2018,NA,2.5,2.25,NA
2018,NA,14.46,8.5,NA
2018,NA,4.23,5.63,NA
2018,NA,3.43,4.3,NA
2018,NA,2.12,1.8,NA
2018,NA,2.17,2.77,NA
2018,NA,0.6,0.75,NA
2018,NA,22.91,29.4,NA
2018,NA,2.23,2.5,NA
2018,NA,NA,2.9,3.38
2018,NA,NA,3.45,3.25
2018,23.32,25.08,NA,NA
2017,0.31,4.75,NA,0.56
2017,3.01,2.95,1.48,2.3
2017,12.23,26.37,18.99,35.1
2017,NA,36,16.1,NA
2017,16.76,NA,4.15,NA
2017,NA,59.3,NA,NA
2017,1.7,4.5,1.9,2.98
2017,3.51,4.73,2.46,8.28
2017,9.73,2.21,3.28,11.81
2017,2.53,4.12,1.76,4.88
2017,1.83,3.71,1.16,3.31
2017,31.79,31.1,9.3,NA
2017,23.76,23.19,19.25,NA
2017,32.67,27.7,27.75,NA
2017,30.57,27.37,23.9,NA
2017,4,2.94,1.75,NA
2017,10.4,9.9,6.1,NA
2017,3.39,NA,NA,NA
2017,NA,6.65,3.75,8.28
2017,23.25,23.34,15.16,NA
2017,12.43,10.74,6.2,NA
2017,29.57,25.83,12.1,NA
2017,3.5,4.07,1.48,NA
2017,8.09,7.89,5.1,NA
2017,28.4,19.9,18.45,NA
2017,12.07,11.83,12.2,NA
2017,8.3,9.88,4.43,NA
2017,12.82,12.14,NA,17.88
2017,11.35,9.36,1.05,9.65
2017,1.4,1.3,NA,2.91
2017,0.1,0.73,NA,0.8
2017,0.52,2.25,0.33,1.1
2017,5.39,5.28,3.4,6.36
2017,3.78,3.5,1.37,4.53
2017,1.7,2.21,1.7,1.86
2017,0.95,16.63,7.72,16.81
2017,2.1,3.38,1.48,3.58
2017,2.86,4.64,2.38,5.94
2017,2.67,2.88,2.59,3.82
2017,1.65,2.16,1.53,2.58
2017,2.71,3.14,2.64,3.05
2017,0.38,0.86,0.02,0.93
2017,2.92,5.46,3.1,3.12
2017,48.86,36.39,23.63,49.5
2017,3.96,4.01,3.06,5.69
2017,1.91,4.4,0.29,2.18
2016,7.45,NA,NA,NA
2016,NA,NA,NA,59.4
2016,20.4,NA,20.6,NA
2016,0.73,NA,2,2.04
2016,2,NA,3.3,2.44
2016,6.78,NA,8.13,8.6
2016,39.45,NA,38.3,NA
2016,25.68,NA,26.47,NA
2016,NA,NA,9.24,NA
2016,8.6,NA,9.75,NA
2016,24,NA,30.44,NA
2016,59.32,NA,NA,NA
2016,20.78,NA,23.28,NA
2016,14.04,NA,18.17,NA
2016,30.97,NA,33.04,NA
2016,3.58,NA,NA,NA
2016,0.35,NA,4,2.45
2016,2.8,NA,10.98,3.69
2016,27.3,NA,24.56,26.34
2016,2.01,NA,8.98,8.07
2016,59.3,NA,NA,NA
2016,NA,NA,13.53,NA
2016,NA,0.8,NA,0.8
2016,0.15,0.19,0.92,0.01
2016,1.27,1.5,1.65,0.88
2016,NA,2.18,NA,NA
2016,17.08,15.35,16.9,NA
2016,3.84,4.47,4.54,4.24
2016,19.59,14,11.54,NA
2016,1.95,2.75,3.15,3.95
2016,2.11,3.15,2.63,2.98
2016,NA,5.3,NA,12.47
2016,1.75,2.82,3,2.95
2016,13.93,7.43,9.33,NA
2016,5.53,5.61,7.33,5.73
2016,1.62,1.15,2.75,3.79
2016,1.8,1.9,2.25,2.1
2016,2.87,2.87,2.27,2.27
2016,0.65,NA,1.1,0.37
2016,3.45,3.15,5.45,2.87
2016,27.86,24.84,34.67,32
2016,3.63,3.53,4.33,4.23
2016,1.84,1.33,2.77,2.1
2016,1.16,4.07,9.3,8.26
2016,7.4,6.45,8.21,7.17
2016,NA,3.06,NA,NA
2016,2.37,NA,3.95,2.47
2015,2.15,3.89,2,2.15
2015,NA,NA,20.84,NA
2015,24.54,25.5,NA,26.31
2015,2.25,2.89,0.47,4.98
2015,2.55,2.04,1.9,2.47
2015,9.7,8.88,7.73,9.8
2015,27.97,22.63,NA,26.1
2015,25.75,25.75,NA,25.88
2015,7.7,7.59,NA,7.7
2015,8.61,9.39,NA,9.43
2015,31.38,29.88,NA,30.37
2015,NA,59.32,NA,59.32
2015,24.62,26.54,NA,25.2
2015,2.6,10.4,1.9,2.4
2015,23.33,26.83,NA,25.87
2015,NA,31.6,NA,31.13
2015,4.03,4.92,NA,3.3
2015,2.38,2.3,NA,2.38
2015,3.51,NA,2.36,3.08
2015,24.27,24.52,22.84,26.51
2015,7.54,7.61,5.26,8.71
2015,NA,59.3,59.3,45.37
2015,NA,19.38,NA,NA
2015,NA,2.5,0.65,2.6
2015,9.37,0.76,8.69,0.64
2015,1.35,1.74,1.2,1.22
2015,3.09,2.8,3.3,2.51
2015,18.1,NA,18.86,NA
2015,4.55,6.3,4.08,5.58
2015,14.47,7.09,11.75,13.21
2015,5.05,4.09,1.75,5.1
2015,2.22,1.19,1.8,1.47
2015,NA,NA,3.33,0.84
2015,2.53,3.02,2.1,1.9
2015,6.92,NA,8.35,NA
2015,4.73,4.32,3.68,3.62
2015,0.88,4.9,1.2,0.8
2015,NA,29.25,NA,29.25
2015,NA,1.84,1.84,1.77
2015,2.8,2.65,2.55,2.5
2015,0.03,0.03,NA,0.48
2015,2.46,3.11,4.33,3.1
2015,27.62,24.98,26.23,30.59
2015,3.83,4.45,4.83,3.46
2015,1.53,2.13,8.03,1.32
2015,10.13,NA,49.95,10.92
2015,8.35,9.4,7.4,6.85
2015,3.32,4.26,1.29,4.77
2014,7.94,3.15,2.42,2.96
2014,6.1,7.57,5.65,7.65
2014,26.66,21.05,26.64,25.05
2014,2.4,1.85,4.21,1.95
2014,2.27,NA,NA,NA
2014,2.91,3.28,1.75,3.48
2014,NA,7.4,9.36,9.14
2014,38.32,21.43,24.21,36.21
2014,29.87,30.06,26.54,29.45
2014,8.54,6.92,6.87,8.98
2014,10.64,9.44,9.22,11.19
2014,32.18,NA,29.28,19
2014,NA,59.32,NA,NA
2014,31.29,29.76,15.4,30.85
2014,NA,4.45,3.65,10.4
2014,28.7,25.27,23.67,31.34
2014,44.3,35.74,31.58,32.23
2014,4.99,3.53,3,4.95
2014,3.22,2.99,0.1,4.67
2014,4.5,2.71,2.68,3.98
2014,32.17,25.53,26.54,31.76
2014,NA,NA,26.54,NA
2014,8.36,7.33,5.03,9.33
2014,NA,NA,NA,2.1
2014,NA,59.3,NA,NA
2014,17.52,16.17,17.41,18.65
2014,NA,NA,NA,2.05
2014,1.33,1.23,0.74,2.11
2014,NA,NA,NA,1.76
2014,NA,NA,NA,5.3
